country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Sri Lanka,LKA,04/02/2021,21803000.00,146327,,,6413,20904,0.68,,,976,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,04/02/2021,10285453.00,,,,,13244,,,,1311,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,04/02/2021,8574832.00,377995,,,8569,15667,4.37,,,1810,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Turkey,TUR,04/02/2021,83429615.00,2500806,,,157526,114747,2.97,,,1361,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,04/02/2021,42953.00,,,,,222,,,,5734,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/posts/1892840824219198
United Arab Emirates,ARE,04/02/2021,9770529.00,3849374,,,157783,140104,38.92,,,14166,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,04/02/2021,66834405.00,11477040,10971047,505993,484596,443943,16.91,16.16,0.75,6540,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,04/02/2021,328239523.00,35203710,27905197,6926050,1325456,1287147,10.53,8.34,2.07,3849,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
United Kingdom,,04/02/2021,66834405.00,524677,523042,1635,32891,23101,16.64,16.59,0.05,7327,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Albania,ALB,03/02/2021,2854191.00,,,,,12,,,,4,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Algeria,DZA,03/02/2021,43053054.00,,,,,3005,,,,69,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Andorra,AND,03/02/2021,77142.00,,,,,55,,,,712,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12516-la-campanya-de-vacunacio-passara-a-la-fase-3-a-finals-d-aquesta-setmana
Argentina,ARG,03/02/2021,44938712.00,396562,284196,112366,,11218,0.88,0.63,0.25,248,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,03/02/2021,8877067.00,288860,237200,51660,17059,9584,3.21,2.63,0.57,1064,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,03/02/2021,10023318.00,,,,,3250,,,,321,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,03/02/2021,1501635.00,,175094,,,7712,,10.29,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,03/02/2021,167310838.00,,,,,2700,,,,16,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Belarus,BLR,03/02/2021,9466856.00,,,,,403,,,,43,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belgium,BEL,03/02/2021,11484055.00,393422,332130,61292,29700,15531,3.39,2.87,0.53,1340,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
